,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes
9,['1645435871783448577'],1645435871783448577,"ashlyncarmela how tf burgerking hasn’t hired our boy’s burger 🍔 &amp; burger jr 🍔 as spokesman 4 arguably the tastiest burgers in the fast food lineup the whopper &amp; whopper jr. is beyond me. this is why u guys r getting ur ass kicked, this a match made in heaven. get it together man! ideaman",,
10,['1645435865366429697'],1645435865366429697,burgerkinguk burgerking accept doge and get rich ,,
11,['1645434637446156288'],1645434637446156288,"bitecoinbk burgerking burgerkinguk hi, this is lucy, i am the listing manager from bitmart.
we would like to communicate with you about cooperation and listing on bitmart exchange.
looking forwards to receiving your feedbacks. thank you!
lucybitmart.com",,
12,['1645431425380896770'],1645431425380896770,dangheesling burgerking release the sequel ,,
13,['1645431408393965568'],1645431408393965568,"i downloaded burgerking app here in spain yesterday (yes, as a human being, i do mistakes often). after launching the app, realised it was an app only for india. then looking deeper, discovered they have a different app for each country.. what??? why??? still wondering !!!",,
14,['1645431320116338696'],1645431320116338696,"burgerking how can we turn this thing around? 

i know you have it in you. 

-a whopper of a supporter",,
15,['1645429485917937666'],1645429485917937666,"rt burgerking_esa: el verdadero, 2 es mejor que uno, lo encontrás en la promo de 2 kings de pollo por $4.99.🐥

burgerking atumanera ala…",,
16,['1645428416550944768'],1645428416550944768,highscandalbag burgerkinguk burgerking bitecoinbk burgerkinguk when $bite?,,
17,['1645428157720453121'],1645428157720453121,"highscandalbag burgerkinguk burgerking bitecoinbk hey burgerkinguk , when $bite?",,
18,['1645427950895140864'],1645427950895140864,"burgerkinguk and which, where and when burgerkinguk burgerking restautant accept bitecoint mate.

bitecoinbk $bite",,
19,['1645426964478427137'],1645426964478427137,"cryptofinally bitecoinbsc is a token that emerged from burger king's last tweet ""bitecoin"".strong active community for twitter raids dev already donated burgers to homeless people let's join a good cause!
💥
💥
burgerkinguk burgerking 0xjamess ",,
20,['1645424632646836227'],1645424632646836227,i'm sitting here at work reminiscing when burger king used to have crown shaped nuggets. i used to go feral for those damn things.  burgerking bring them back pls 🙏,,
21,['1645424453596184576'],1645424453596184576,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
22,['1645422790970081280'],1645422790970081280,burgerking is your burger really king,,
23,['1645421930961334273'],1645421930961334273,smoovie420 zhusu burgerking tim apple sends his regards🫃🏻,,
24,['1645419797205639168'],1645419797205639168,burgerking today my 3 year old son was lucky enough to know that something was wrong with his nugget. he handed me a bone which he bit into. when we went to the restaurant manager we were told that this is a common occurrence. last time i will ever be coming here ,,
25,['1645418856406548481'],1645418856406548481,zhusu burgerking insiders selling aapl. april 10 2023 ,,
26,['1645418233447567360'],1645418233447567360,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
27,['1645417630163927043'],1645417630163927043,number 15 minecraft burgerking ,,
28,['1645415208461172737'],1645415208461172737,"beef's episode 7 (i am a cage).

that's the tweet. 

burgerking",,
29,['1645412207792910336'],1645412207792910336,"0xjamess 🍔 bitecoinbsc is a token that emerged from burger king's last tweet ""bitecoin"". strong active community for twitter raids dev already donated burgers to homeless people let's join a good cause!! 
tg: burgerkinguk burgerking burgerkingarg ",,
30,['1645409344408928256'],1645409344408928256,"rt jksolocrypto1: shibinfo gm!  will you have a  $bite of  burgerking ? burgerking has literally mentioned us in ther tweet..
https://t…",,
31,['1645409227358326785'],1645409227358326785,"shibinfo gm!  will you have a  $bite of  burgerking ? burgerking has literally mentioned us in ther tweet..
… 

$bite bitecoinbk burgerkinguk ",,
32,['1645407443529224192'],1645407443529224192,"cryptoworld202 🍔 bitecoinbsc is a token that emerged from burger king's last tweet ""bitecoin"". strong active community for twitter raids dev already donated burgers to homeless people let's join a good cause!! tg: burgerkinguk burgerking burgerkingarg ",,
33,['1645407108366467073'],1645407108366467073,"rt burgerking_esa: hershey pie, el postre para el alma.🍫 

burgerking atumanera alaparrilla bklovers hersheypie postre",,
34,['1645404099423387648'],1645404099423387648,ordered burgers from burgerking ballard estate mumbai via swiggy order no.164202564054. received 1 burger less and what a huge hassle to get my missing burger. pathetic! still waiting. burgerking burgerkingindia swiggycares,,
35,['1645402206303027200'],1645402206303027200,"burger king uk hints at a possible new native crypto bitecoin days after teasing dogecoin payments.
what does bitecoin mean, if anything? will burger king make good of this latest tease?

burgerking doge cryptocurrency",,
36,['1645399777318780928'],1645399777318780928,burgerking you are better than any fast food restaurant,,
37,['1645399494631063552'],1645399494631063552,"doge_cola burgerking
argonzalez001 
all the best! ",,
38,['1645398510697578498'],1645398510697578498,"burgerking junior, double, triple, whopper.",,
39,['1645398299913121792'],1645398299913121792,doge jumps after burgerking  gives 'hint' to launch bitecoin! ,,
40,['1645397464885891072'],1645397464885891072,"this april fools joke is now a real item on the menu 😂



burgerking",,
41,['1645396333434421250'],1645396333434421250,cayenne in the burgers = burgerking notmyking capsaicin free.,,
42,['1645394996260896768'],1645394996260896768,burgerking i would give your customer service a 100% your food is better than mcdonald's too,,
43,['1645394926996258816'],1645394926996258816,rt lsinbin: ❤️💛 stripgame ronaldmcdonald burgerking ,,
44,['1645394619604295680'],1645394619604295680,"rt lsinbin: finally! need him naked now!! 
burgerking ronaldmcdonald stripgame ",,
