,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes
55,['1645531067217244161'],1645531067217244161,lindalovely1000 juliahb1 nike does it look like mulvaney does?,,
56,['1645531036024180748'],1645531036024180748,"nike 36 mins and counting, still no supervisor. absurd",,
57,['1645531020765302795'],1645531020765302795,nike way too big to have a representative acting like this. the audacity is quite comical. i’m just trying to get a resolve.,,
58,['1645530993497874432'],1645530993497874432,"tone_blm soniagallegoaje nike i really couldn't care less about what bras you wear, or what bras trans people wear.",,
59,['1645530957485838336'],1645530957485838336,rt cris_ast85: check out nike flex experience run 11 next nature women's road running - size 5 nike gym  ebay…,,
60,['1645530950044905475'],1645530950044905475,rt cris_ast85: check out new nike womens sport bra dri-fit indy logo pink/white removable pads dq5128-133 nike …,,
61,['1645530935721336835'],1645530935721336835,jordanbpeterson nike absolutely no more nike from now on,,
62,['1645530858218987522'],1645530858218987522,jeonjuiyj nike time to blacklist im_lesserafim yunjin and kazuha. their fans have been slandering peaceminusone x nike collab and threatening violence,,
63,['1645530804477472770'],1645530804477472770,rt insidetxrangers: texas rangers nike city connect jerseys going on sale -  straightuptx,,
64,['1645530774228340736'],1645530774228340736,moreshoesthan rjolli007 jumpman23 nikesb nikestore nike snkr_twitr some of my favorites jordan 1’s,,
65,['1645530755962114048'],1645530755962114048,£59 to you bbcworld bbcnewsents babestationtv itvnews channel4news 5_news skynews nike teamariana ,,
66,['1645530746327646211'],1645530746327646211,"rt press4change: a special place in hell for marketing people, especially for nike! it is the most responsible for kids' obsession w ove…",,
67,['1645530723502395405'],1645530723502395405,"beepbeeptorey 12banhammer34 bbaaddddoogg nike i'm sure a woman that had an abnormal pap smear come back loves waiting behind a man that can go to a proctologist or a urologist...
i can almost guarantee at least in the state of north carolina you won't find one gynecologist that will immediately refer you to a proctologist.",,
68,['1645530714824380419'],1645530714824380419,rt moreshoesthan: kotd “sb nyc to paris” w/ a subtle sail laceswap. singthegreys airjordan nike nikesb yoursneakersaredope snkrs …,,
69,['1645530699334848512'],1645530699334848512,bltw73 msmarcijoy giobruno1600 nike the trans community should force people to buy nike stuff! how dare they not purchase girl things worn by a guy!!,,
