,edit_history_tweet_ids,id,text
68,['1664930727891292166'],1664930727891292166,"rt d_marianne23: ginalingan  na naman ni darren !! very effective endorser ever talaga!!

darrens bestcokeever
darren espanto2001
cokez…"
69,['1664920559098949633'],1664920559098949633,"rt djulbarri: gulat yan..

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph"
70,['1664907315760300033'],1664907315760300033,"rt thedarrenatics2: darren surely can't give up his best coke ever😊

see full clip:


darren espanto2001
cokezer…"
71,['1664904632051671040'],1664904632051671040,"rt dvteamofficial: darren | hmm, is this what you've been waiting for? 🤔

watch darren's advertisement for coke! ❤️ cokezero tikmanna…"
72,['1664891250397564933'],1664891250397564933,"rt ilovedarren_24: true ..sana maipalabas sa tv ! 💚🙏

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph"
73,['1664881274094231552'],1664881274094231552,"rt dvteamofficial: darren | hmm, is this what you've been waiting for? 🤔

watch darren's advertisement for coke! ❤️ cokezero tikmanna…"
74,['1664880878781071360'],1664880878781071360,"rt darrentrendsofc: darren's coke zero ad is out now! you were amazing d!  congratulations!

darrens bestcokeever
darren espanto2001
co…"
75,['1664879953958039552'],1664879953958039552,"rt darrentrendsofc: darren and his best coke ever! perfect! 

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph ht…"
76,['1664870749096607744'],1664870749096607744,rt jelaravillamor: naalala ko talaga mga three months din ako di uminon ng coke nito kasi nga malapit nayung game day ko after talaga sa m…
77,['1664870700442591232'],1664870700442591232,"rt thedarrenatics2: we love his smile, his voice, his grooves, his warmth. his charm, 
his attitude… and now…
his best coke ever! 

darren…"
78,['1664870539721056257'],1664870539721056257,"rt thedarrenatics2: thank you, it’s friday. let’s grab our best coke ever for a good weekend night chat! 

darrens bestcokeever
darren e…"
79,['1664869593049964546'],1664869593049964546,"rt jelaravillamor: swerte ni ate girl tinitigan ba naman ni espanto ng ganito! kung ako siya baka ma tameme ako ahahahh

darrens bestcokee…"
80,['1664869364255064065'],1664869364255064065,"rt ilovedarren_24: true ..sana maipalabas sa tv ! 💚🙏

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph"
81,['1664858471055982595'],1664858471055982595,"rt djulbarri: ang tangkad.. hahha

darrens bestcokeever
darren espanto2001
cokezero tikmanna
cocacolaph"
82,['1664858431616872448'],1664858431616872448,"rt serweiss_: may sarili pala silang pa hashtags! takeataste hahaha. wala kasi sa tag natin. 

darrens bestcokeever
darren espanto2001…"
83,['1664858382325657600'],1664858382325657600,"rt melovesdarren: palibhasa kasi alam na alam mo kung paano ako kunin eh. isang ngiti, isang tingin wala... umiikot na ulit ang mundo ko.…"
84,['1664858174132826112'],1664858174132826112,"rt ionelovegood: thank you po again for the trust, cocacolaph!

darrens bestcokeever
darren espanto2001
cokezero tikmanna …"
85,['1664857972982398977'],1664857972982398977,"rt ilovedarren_24: tikman na!! thank you so much cocacolaph 

darrens bestcokeever
darren espanto2001
cokezero tikmanna …"
86,['1664857546375708673'],1664857546375708673,"rt thedarrenatics2: we love his smile, his voice, his grooves, his warmth. his charm, 
his attitude… and now…
his best coke ever! 

darren…"
87,['1664857054673244166'],1664857054673244166,"rt de_silentfan: look d’s gwapo is now trending at number twenty nine!

darrens bestcokeever
darren espanto2001
cokezero tikmanna
coc…"
88,['1664857015435526145'],1664857015435526145,"rt ionelovegood: naku-naku darren huwag mo kaming dinadaan sa ganyang tingin. 

darrens bestcokeever
darren espanto2001
cokezero tikma…"
