,edit_history_tweet_ids,id,text
3,['1666099377734287362'],1666099377734287362,"check out this body wrap bikini. for more details or to order today, copy/paste or click the link below
👇👇


art beautiful instagood love fashion photooftheday ad sponsored happy dietcoke amazondeals bigmamasbins blackart unfinishedbusiness"
4,['1666098039927504903'],1666098039927504903,"up to 50% off of select fathers day gifts.  for more details or to order today, copy/paste or click the link below
👇👇


 beautiful instagood love fashion photooftheday ad sponsored dietcoke amazondeals bigmamasbins blackart unfinishedbusiness"
5,['1666094810506330114'],1666094810506330114,russia ukraine war updates | southern ukrainian dam bombed | russia vs u...  via dietcoke
6,['1666088336656830465'],1666088336656830465,"jacksonboren theswu dietcoke
thanks for the memory and age check! 🤣
indianajones dietcoke"
7,['1666087756907569152'],1666087756907569152,twitter’s open-source advantage  via dietcoke
8,['1666079429636902912'],1666079429636902912,"morebetje20 mickey d’s. 
if taco bell served dietcoke they’d be the winner"
9,['1666069989382561793'],1666069989382561793,"rt andrewcpo: dietcoke no, sounds more like this. 

watch it again.
you're revenue might have bought the bullets.

boycottcocacola 

htt…"
10,['1666069849951313923'],1666069849951313923,rt nftdivide: dietcoke if you do it right it's more of a psssssssssssss
11,['1666069070448304128'],1666069070448304128,rt virtualalien: dietcoke please! get out of russia!
12,['1666067736303226883'],1666067736303226883,rt thepannda: dietcoke you mean bang bang sound of russian artillery while they drink coke cocacola
13,['1666053475245912064'],1666053475245912064,"genuinerex mcdonalds 1.  all the diet coke i can drink
2.  sausage mcmuffins are great
3.  hashbrowns (which i shouldn't eat) are amazing.
4.  it's convenient and cheap

added note:  mcdonalds diet coke from their fountain is sublime and the best dietcoke on the planet."
14,['1666035295341666304'],1666035295341666304,"rt therealltm: ""2 minute warning"" out now!

recorded by jonsullivan_ 👨‍🔬🧪🙏🏿

🎨: derez 🔥🔥

youtube link: 

latray…"
15,['1665980468733304832'],1665980468733304832,dietcoke great start to the day 
16,['1665949846619168768'],1665949846619168768,rt jonnati77: jondonahue better version … 👍 tombrady tomcruise tomhanks indianajones dietcoke indianajones dietcoke …
17,['1665948868239052800'],1665948868239052800,jondonahue better version … 👍 tombrady tomcruise tomhanks indianajones dietcoke indianajones dietcoke 
18,['1665945423708852224'],1665945423708852224,"""2 minute warning"" out now!

recorded by jonsullivan_ 👨‍🔬🧪🙏🏿

🎨: derez 🔥🔥

youtube link: 

latray latraymusik ltm derezume graphicdesigner sullivanaudio hiphop music rap newmusic comingsoon 2minutewarning dietcoke pushat realrap "
19,['1665943693550034944'],1665943693550034944,"""2 minute warning"" out now!

recorded by jonsullivan_ 👨‍🔬🧪🙏🏿

🎨: derez 🔥🔥



latray latraymusik ltm derezume graphicdesigner sullivanaudio hiphop music rap newmusic comingsoon 2minutewarning dietcoke pushat realrap"
20,['1665933925519089664'],1665933925519089664,sponsored by dietcoke orangebeach 
21,['1665901926830194690'],1665901926830194690,amazes me mcdonalds has corrected so many other terrible decisions but won't correct this one ... forcing people to use the app or a dietcoke jumps by almost 50%. big brother serves burgers now. 
22,['1665891999940050946'],1665891999940050946,rt karliforniawzwa: one of my favorite parts of crockettcup 2023. night 2 pre show. joegallinews caught by surprise with a large skull g…
23,['1665866880861589507'],1665866880861589507,lumpdrowzyttv subway dietcoke yeah wtf
24,['1665860585370648577'],1665860585370648577,itsnochole subway still waiting on my dietcoke sponsorship
25,['1665850177704566785'],1665850177704566785,yayrov2 dietcoke ❤️
26,['1665810566290571266'],1665810566290571266,rt karliforniawzwa: one of my favorite parts of crockettcup 2023. night 2 pre show. joegallinews caught by surprise with a large skull g…
27,['1665777263659433985'],1665777263659433985,"rt bigmamasbins: 10% off coupon  for more details or to order today, copy/paste or click the link below
👇👇
 

phot…"
28,['1665763425694396421'],1665763425694396421,"10% off coupon  for more details or to order today, copy/paste or click the link below
👇👇
 

photooftheday fashion love instagood beautiful ad sponsored art happy dietcoke amazondeals bigmamasbins blackart unfinishedbusiness"
29,['1665762195433570311'],1665762195433570311,"rt bigmamasbins: dads &amp; grads will love this smart speaker! for more details or to order today, copy/paste or click the link below 👇👇

htt…"
30,['1665762151724613652'],1665762151724613652,"rt bigmamasbins: cheers to dad coupled with a 10% off coupon.  for more details or to order today, copy/paste or click the link below
👇👇
h…"
31,['1665762119671742478'],1665762119671742478,"rt bigmamasbins: 34% off the perfect gift for fathers day.  for more details or to order today, copy/paste or click the link below
👇👇
http…"
32,['1665761766058360837'],1665761766058360837,"34% off the perfect gift for fathers day.  for more details or to order today, copy/paste or click the link below
👇👇
  

art beautiful instagood love fashion photooftheday ad sponsored happy dietcoke amazondeals bigmamasbins blackart"
33,['1665759506020675585'],1665759506020675585,"cheers to dad coupled with a 10% off coupon.  for more details or to order today, copy/paste or click the link below
👇👇
  

art beautiful instagood love fashion photooftheday ad sponsored happy dietcoke amazondeals bigmamasbins blackart"
34,['1665757669418848262'],1665757669418848262,"dads &amp; grads will love this smart speaker! for more details or to order today, copy/paste or click the link below 👇👇

 

photooftheday fashion love instagood beautiful art happy ad sponsored dietcoke amazondeals bigmamasbins blackart"
35,['1665753900715069441'],1665753900715069441,rt karliforniawzwa: one of my favorite parts of crockettcup 2023. night 2 pre show. joegallinews caught by surprise with a large skull g…
36,['1665745324789358593'],1665745324789358593,diet coke is the cure to my depression dietcoke
37,['1665739118884839424'],1665739118884839424,rt karliforniawzwa: one of my favorite parts of crockettcup 2023. night 2 pre show. joegallinews caught by surprise with a large skull g…
38,['1665738090122559490'],1665738090122559490,"missed marketing oppurtunity to recreate this for the new film on disney and dietcoke’s part! 😍🤷🏽‍♂️

indianajones "
39,['1665730222971564032'],1665730222971564032,hollywood oldhollywood cherry dietcoke lanadelrey lizzygrant borntodie 2012aesthetic tumblr 2012tumblr 
