,edit_history_tweet_ids,id,text
65,['1623379641841885187'],1623379641841885187,"subway i had a weird occurrence today. someone hacked my account, added a giftcard, used that giftcard to get an order and that's it. i am in the motion to deleting my account. figured i would give a heads up. not sure if your databases have been hacked or what."
66,['1623378532704350208'],1623378532704350208,adamjh86 pennstationsubs subway jimmyjohns jerseymikes just ate there. mike sat with us. good guy
67,['1623377612130160654'],1623377612130160654,sholtz2332 pennstationsubs subway jimmyjohns jerseymikes i need to give them another try. last time i was there it was total chaos/drama.
68,['1623375973608525851'],1623375973608525851,annamoor1995 tracybattensby subway nationalpork iowapork aldiaustralia aldiuk woolworths safewaycanada dear sweet jesus - how is it still acceptable to treat sentient creatures like this in the 21st century????
69,['1623375890070573084'],1623375890070573084,adamjh86 pennstationsubs subway jimmyjohns don’t forget jerseymikes
70,['1623375641520312329'],1623375641520312329,sholtz2332 pennstationsubs has some solid lemonade. i used to eat there all the time until i figured out it was making me fat so i moved to subway. be awesome to see if these sub shops would fight for my love here. jimmyjohns you in?
71,['1623375061397737674'],1623375061397737674,so subway you’re really not going to bring the oven roasted chicken back?
72,['1623374962877730817'],1623374962877730817,sydrahglasgo subway let’s make this happen
73,['1623374723798208532'],1623374723798208532,"rt realdeal3333: 15 year old pushed into a train!
silly place to push someone?…

train subway crash fights fight gore trading stoc…"
74,['1623374539488104448'],1623374539488104448,matthewwhitti18 subway don't.
75,['1623374130560000000'],1623374130560000000,subway may do that tomorrow.
76,['1623373883473821697'],1623373883473821697,jondick23 subway yeah fuckyou
77,['1623373857645277185'],1623373857645277185,subway subwaypls
78,['1623373399572754432'],1623373399572754432,subway subway i love you pleasegive me a chance
79,['1623370446539264010'],1623370446539264010,subway  don’t appreciate the fake foot long i got from you guys yesterday … how am i getting  charged $20 for a 12 inch combo and this is what i get 
80,['1623370338212974593'],1623370338212974593,robgronkowski you are so damn funny in the subway commercials.  you swinging that shirt painted green i laugh harder each time i see it!!  love you gronk!
81,['1623370217547042824'],1623370217547042824,subway stop ignoring me and bring back the spicy brown mustard! day301
82,['1623370134705344515'],1623370134705344515,subway stop ignoring me and bring back the spicy brown mustard! day301 go ahead do it
83,['1623369446722248704'],1623369446722248704,netflixaddic94 subway good decision charles!
84,['1623369219013496832'],1623369219013496832,just becuase you physically want to watch homeboy slice the extra meat he is hooking it up with i am no longer coming to your restaurants subway
85,['1623368480710922261'],1623368480710922261,tacobellpotatoe subway we or you?
86,['1623368147318493185'],1623368147318493185,"subway when ?
offercode: shibpay "
87,['1623367048733593603'],1623367048733593603,subway that’s amazing
88,['1623366531894898694'],1623366531894898694,"subway if we don't want one footlong, why would we want two?"
89,['1623366402978480128'],1623366402978480128,subway i’d rather kill myself
90,['1623366400084480001'],1623366400084480001,subway your sandwiches sucks i saw worms in them
91,['1623366329859248138'],1623366329859248138,"redeemable at participating u.s. restaurants for subway® app/online orders only. free sub of equal/lesser price. add-ons addt’l. plus tax. 1 per order. no addt’l discounts. excludes footlong pro®, fresh melts®, and wraps. limited time."
92,['1623365202191257608'],1623365202191257608,michaelcoudrey you eat hormone filled poultry and beef and drink fuzzy sugar called soda. i wiill take this over the poisons sold by mcdonalds burgerking subway cocacolaco pepsico  etc as ichangetheworld i vodounvi dzifah
93,['1623365008691449856'],1623365008691449856,"rt dlwnsghek: 제가 자주 먹는 꿀조합은 무엇일까요?
댓글로 공유해보기

subwaykorea 
better_choice 써브웨이 subway "
94,['1623364417072074762'],1623364417072074762,subway hittin diff rn subway yum w
95,['1623363054078513158'],1623363054078513158,"📸: samsung galaxy a32 5g 
streetphoto streetphotography nyc subway "
96,['1623362037173653513'],1623362037173653513,"racist antisemitic ltrainnazi caught in the act

he uses a marker to write pro hitler and white supremacist graffiti like ""1488"" on platform walls, steps, etc.

nyc metro ltrain subway newyorkcity brooklyn bk eastnewyork brownsville antisemitism "
97,['1623358927697022979'],1623358927697022979,anyone else remember when subway was affordable?
98,['1623358614806138883'],1623358614806138883,"subway cerró el 2022 con un buen resultado en ventas, gracias a la introducción de nuevos productos. 👇
negocios

"
0,['1623356919548153857'],1623356919548153857,"rt giuseppeturrisi: take me to the church!

hozier's subway performance

weekendvibes weekendmood music subway vocalonly acapella h…"
