,edit_history_tweet_ids,id,text,lang
50,['1652000986746040338'],1652000986746040338,thekatskid1 nachodelaheysus memesus77 tearsintherain1 watawatadayone jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
51,['1652000942408052746'],1652000942408052746,kdtrey5 nike nikebasketball congratulations but.. bring back the kd4s ,en
52,['1652000925043798017'],1652000925043798017,grama641 tampax budlight nike what happen to real women,en
54,['1652000840075587584'],1652000840075587584,lakersbetta kdtrey5 nike kevin durant signs huge deal with nikemore than lebron 1.1b over lifetime with incentives plus perks,en
55,['1652000815584882709'],1652000815584882709,michaeldoge420 nachodelaheysus memesus77 tearsintherain1 watawatadayone jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
56,['1652000805770387456'],1652000805770387456,cashmoneez nicekicks boardroom kdtrey5 nikebasketball nike 😂 both of those are trash... no kds have yet to top the 4s,en
57,['1652000795217342510'],1652000795217342510,kdtrey5 joining mj and bron as the 3rd player to sign a lifetime contract with nike lfg kd!!!! rallythevalley,en
59,['1652000708906954775'],1652000708906954775,ilustriouseller sportsguygio kdtrey5 nike man everyone in the aau circuit had this starter pack,en
60,['1652000653789605898'],1652000653789605898,n8frost sneakeradmirals nike nikestore jumpman23 gotta buss these out soon. ds ,en
63,['1652000546847436803'],1652000546847436803,thekatskid1 memesus77 tearsintherain1 watawatadayone nachodelaheysus jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex dogecoin ,en
64,['1652000546075848709'],1652000546075848709,rt jamaalaldin_tv:  rude president forced trouble maker 227's youtube chili' bts! kpop!🎶 hoops227tv …,en
66,['1652000536772878336'],1652000536772878336,rt jamaalaldin_tv:  rude president forced trouble maker 227's youtube chili' bts! kpop!🎶 hoops227tv …,en
73,['1652000515780403201'],1652000515780403201,rt jamaalaldin_tv:  youtubers react to i’m geekin &amp; i expose the 227's youtube chili' bts! kpop!🎶 hoops227tv http…,en
76,['1652000507064619008'],1652000507064619008,rt jamaalaldin_tv:  youtubers react to i’m geekin &amp; i expose the 227's youtube chili' bts! kpop!🎶 hoops227tv http…,en
78,['1652000451317968914'],1652000451317968914,nachodelaheysus memesus77 tearsintherain1 watawatadayone thekatskid1 jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex ,en
79,['1652000449715912704'],1652000449715912704,"rt gift_metacard: one of the top priority for brands? growing a community of ambassadors 💯

here's some of the benefits for growing a comm…",en
80,['1652000440152731664'],1652000440152731664,thereal_jmillz_ nikestore nike appreciate it! i’m happy with my first pair!,en
81,['1652000438353375262'],1652000438353375262,kdtrey5 nike or until nike goes out of business in 6 yrs from now.,en
82,['1652000362373455872'],1652000362373455872,memesus77 tearsintherain1 watawatadayone thekatskid1 nachodelaheysus jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex dogecoin ,en
84,['1652000252071751702'],1652000252071751702,officiallyctg thekatskid1 tearsintherain1 memesus77 watawatadayone nachodelaheysus jewel_gardener quantumfekt siderico starshipdock iamcelinemarie dogeaccept pryzmrulezz khanshamtay musicphantom69 kym_head ali3nkat andremillaire lionelclone1 lottkaren54 spadersnfts rajtwittz d1dave123 dawnheartlrps sofakingdoge2nd yeshuaissavior piapanda96 pleiadesplz yadirarussell9 youniverse999 maximobanksy bugaloo_2 13dogecoin boozelee86 h_artsncrafts marshaw15161057 codehurtsbrain elonmusk tesla tesla_megapack grimezsz dogecoin nike historydefined historyinpics nelsonmandela yourhomemars spacex dogecoin ,en
86,['1652000102976827396'],1652000102976827396,kdtrey5 nike congratulations….,en
87,['1652000065215508495'],1652000065215508495,kdtrey5 nike congrats bro,en
89,['1652000021607329795'],1652000021607329795,kdtrey5 nike they know you about to win another ring my man. let's get it,en
90,['1651999997976621059'],1651999997976621059,connorgrossman3 nikestore nike definitely glad this was my first pair!,en
91,['1651999981371371526'],1651999981371371526,kdtrey5 nike now you can finally have a kid lol,en
