,edit_history_tweet_ids,id,text,lang
6,['1652064031900045312'],1652064031900045312,"rt opgoking: 莆田鞋货源，主打各种联名限量球鞋，    
纯原高版本，全球邮寄,     
微信客服：ctct037         
鞋子 耐克 阿迪 影子灰 低帮 nike sb dunklow shadow nikesb sbdunk…",en
7,['1652063968599371777'],1652063968599371777,sooo miami ! congrats young legend deswitit so much more 2 come ! ⭐️💕💅🏾 🌴 nike  ,en
8,['1652063774957010945'],1652063774957010945,kdtrey5 nike idol kd simple wish a pair of shoes or jersey 💕💕,en
9,['1652063760696381440'],1652063760696381440,kixnkarbs nike you got monday brother kixnkarbs,en
10,['1652063758980726785'],1652063758980726785,sign ad share nike and puma both recently phased out kangaroo leather. it's time for adidas nike to stop killing kangaroos for shoes too! ,en
11,['1652063737745141761'],1652063737745141761,thesitesupply nike are we going to see some kdchina hate comments on this? or is that only for lebron and not any of the other signiture shoe athletes 🤡,en
13,['1652063670044889088'],1652063670044889088,kixnkarbs nike i felt this.. 🤧 😅,en
14,['1652063662293798912'],1652063662293798912,"kcharouhas nike giannis_an34 nikebasketball aww who’s your favorite? tapinaldo? fuck outta here, clown. 🤣",en
15,['1652063601002438657'],1652063601002438657,nike but when i do win you sent me dirty shoes this is unbelievable,en
16,['1652063471792709634'],1652063471792709634,the snkrs app is ran by isis nike . haven’t ever got 1 pair of shoes in a million tries.,en
17,['1652063471192752135'],1652063471192752135,"marvel captain america concept art print poster movie comic grey matter /150 | ebay
us $79.99

click for deal link!


thenorthface nike adidas hypebeast amazon ebay amazondeals dailydeals ebaydeals ",en
18,['1652063426389180418'],1652063426389180418,first look shoutout idk for his 1 of 70 airmax 97!! shoe is super sick ty so much!! nike idk fnf airmax sneakers ,en
20,['1652063186240274432'],1652063186240274432,rt sn00pdad: this man is budlight &amp; nike partner. dylanmulvaney is mocking women. i don't know any 30yr old woman who acts this way.…,en
21,['1652063153860014080'],1652063153860014080,nike where tf was this shit when lebron lost? ,en
