,edit_history_tweet_ids,id,text,withheld.copyright,withheld.country_codes,lang
23,['1652042257514504230'],1652042257514504230,"open your eyes, the dream is coming true. all that remains is to enjoy the moment in the company of coca-cola and pizza 🥤🍕

fridayfeeling realmagic cocacola cocacolait ",,,en
24,['1652041851015254016'],1652041851015254016,"auntmaggiep i was harrassed yeaterday at walmart while shopping with a mask on by a cocacola  distributor. i asked him to pardon me cuz he was stocking, the mf started whistling ""mary had a little lamb"" i emailed ""cocacola but they want his name, and license , what a joke!",,,en
26,['1652041616209616901'],1652041616209616901,"lesson being, creating a good product that serves a function is still the best way to build a brand/company. cocacola gatorade",,,en
27,['1652041153557016576'],1652041153557016576,pepsi is ruined. new formula is terrible and ruined my friday rum night. back to cocacola i go. ,,,en
30,['1652038859666890783'],1652038859666890783,i'm with karen at bingo alright. cocacola ,,,en
31,['1652038439263682560'],1652038439263682560,emaanzt cocacola pepsico nestle proctergamble makes me sick to my stomach.,,,en
33,['1652037739301289989'],1652037739301289989,"while the workers at the philadelphia cocacola bottling plant are on strike, i'd just like to say y'all are putting out too many new flavors when all we want is the cocaine back in the soda. miss after miss, no cocaine in any of these. ",,,en
35,['1652036208900599809'],1652036208900599809,"set of 3 commemorative coca cola glasses  via etsy

onsale - 15% off and freeshipping thru 5/13    

coke cocacola cokecollectibles cocacolacollector glassware drinkware kitchenware kitchendecor etsyfinds etsysale etsycoupon mothersdaysale",,,en
36,['1652035104456441856'],1652035104456441856,"this concept is great and glad to see more and more companies diving head first in the gaming and esports industry!

gaming esports dbmventures gamersnewsnetwork sixflags cocacola johndavidson ",,,en
38,['1652034528167227392'],1652034528167227392,rihamug cocacolaco cocacola you guys have failed us rihamug do you have any missing workers or did you cut off staff,,,en
39,['1652034511473877008'],1652034511473877008,bowens_official bring back the cork cocacola,,,en
41,['1652031741333217289'],1652031741333217289,cocacolaracing dennyhamlin joegibbsracing nascar cocacola cltmotorspdwy i need one of those there coke machines for my garage.,,,en
43,['1652031179837546504'],1652031179837546504,rt lunalatinacoo: mividasexualescomolacocacolahumor cocacola primero normal ligth cero webpages webpage websides webcamcolombiam…,,,en
44,['1652030473688817665'],1652030473688817665,"by heck they don't half make my stomach churn the beverages these days...  🤢
lidlgb &amp; aldiuk don't have much decent to drink
tesco, sainsburys, asda &amp; coopuk ain't that much better either really...
got a bottle of cocacola from marksandspencer motorway 🛣 services...  😩",,,en
45,['1652029746136641536'],1652029746136641536,"zoelenkiewicz cocacola cocacolaafrica a review of the role of solar ultraviolet-b irradiance and vitamin d in reducing risk of dental caries

william b grant. dermatoendocrinol. 2011 jul.

free pmc article
author

william b grant wbgrant2
 ",,,en
47,['1652027046602719233'],1652027046602719233,"spursofficial give us our tottenham back !
22 years of absolute failure 
enough is enough 
levyout 
enicout
spursofficial
nike cinchuk hp getir_uk hsbc_uk ineos kumhotyreuk cocacola libertex_europe ",,,en
49,['1652025593020424192'],1652025593020424192,"remember cocacola's fullthrottle slush from sonicdrivein? 

full throttle is back. be cool if sonic would bring that slushy back.

 
fullthrottlefury fullthrottlefuryslush orange sonicdrivein thelastdrivein inspirebrands tjanddave petergrosz",,,en
0,['1652024919276900352'],1652024919276900352,"spursofficial give us our tottenham back !
22 years of absolute failure 
enough is enough 
levyout 
enicout
spursofficial
nike cinchuk hp getir_uk hsbc_uk ineos kumhotyreuk cocacola libertex_europe ",,,en
1,['1652024844081348628'],1652024844081348628,"spursofficial give us our tottenham back !
22 years of absolute failure 
enough is enough 
levyout 
enicout
spursofficial
nike cinchuk hp getir_uk hsbc_uk ineos kumhotyreuk cocacola libertex_europe ",,,en
3,['1652023923490340885'],1652023923490340885,"cozy friday! we love seafood, so tonight fresh shrimp, smoked shrimp, blue mussels and lobster, served with bread and homemade aioli! our children got their mom's hamburgers on the best ground beef, served with fries!

we adults taste a wine from alsace; the children cocacola ! ",,,en
5,['1652022368687235075'],1652022368687235075,"rt meowowlove: coca-cola x keung to 
'irreplaceable me' 

= event reminder =

d: 29 april 2023
t: 2:00pm
l: moko shopping mall

keungto …",,,en
8,['1652019367528509441'],1652019367528509441,"""venom 2: let there be carnage"" of the year (2021)

again, with tomhardy as eddiebrock/venom and his arrival to the mcu universe, for the failed spell of drstrange because of tomholland

of ""sony/columbia pictures"" and ""marvel""

sponsored by:
soft drink cocacola 

🎬⭐ ",,,en
9,['1652019347819491328'],1652019347819491328,"¡together and united, vs the covid19 to the end! 😉👍

¡i love you, 3000!

endgame

avengers assemble

wakandaforever

nowayhome

(the multiverse) 🌎

venom

carnage

spiderman

sony

sonypictures

columbiapictures

marvel

theacademy

oscars

cocacola

🎬⭐",,,en
12,['1652017352756609024'],1652017352756609024,"the medical league ug!!!!
themedicalleagueug
mengoss 
ogwangogwang balale19 kabajjaali athletickampala theumaofficial pepsi cocacola widespectrumug mtnug airtel_ug hillwaterltd ntvuganda bbstvug ubctvuganda urbantvuganda nbstv 892cbsfm allandarren snduhukire ",,,en
13,['1652017352148434969'],1652017352148434969,"cocacola uconnmbb today, russia killed ukrainian children again. "" protect children from russian terror.""",,,en
14,['1652017293008748546'],1652017293008748546,"cocacola today, russia killed ukrainian children again. "" protect children from russian terror.""",,,en
15,['1652016146470797312'],1652016146470797312,rt dsosa2423: healthy thick nut 🌋💦 dltv cocacola yellove jacksonville atlanta bbc cum hooddick bilife moaner nut retweet https…,,,en
17,['1652015069704667158'],1652015069704667158,"hackearon a la conagua 🚰

ahhh y tmb a cocacola femsa 🥤🔴",,,en
18,['1652014235625373705'],1652014235625373705,"rt austinhighsmith: what do you do during a rain shower at namaleresort? why, bougie bathrobe billiards &amp; brew with jteddygarces of cour…",,,en
